0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:31:59 -0800] "POST /RoadReport/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:31:59 -0800] "GET /RoadReport/welcome HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:00 -0800] "GET /RoadReport/map HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:00 -0800] "GET /RoadReport/hazardGet?_=1512959520415 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:02 -0800] "GET /RoadReport/resolveHazard HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:03 -0800] "GET /RoadReport/map HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:03 -0800] "GET /RoadReport/hazardGet?_=1512959523371 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:04 -0800] "GET /RoadReport/resolveHazard HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:05 -0800] "GET /RoadReport/map HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:05 -0800] "GET /RoadReport/hazardGet?_=1512959525706 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:32:22 -0800] "GET /RoadReport/reportHazard HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:33:51 -0800] "POST /RoadReport/reportHazardProcess HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:33:51 -0800] "GET /RoadReport/hazardGet?_=1512959631528 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:33:53 -0800] "GET /RoadReport/resolveHazard HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:38:53 -0800] "GET /RoadReport/resolveHazardProcess/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:38:53 -0800] "GET /RoadReport/resolveHazard HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:49:29 -0800] "GET /RoadReport/map HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:49:29 -0800] "GET /RoadReport/hazardGet?_=1512960569721 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Dec/2017:18:51:25 -0800] "GET /RoadReport/resolveHazard HTTP/1.1" 200 2546
